,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Ordem P/VP,Ordem Dividend Yield,Score,address1,address2,city,state,zip,country,phone,fax,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,maxAge,priceHint,previousClose,regularMarketPreviousClose,dividendRate,dividendYield,exDividendDate,beta,trailingPE,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,ebitda,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,ticker,lastSplitFactor,lastSplitDate,website,payoutRatio,mostRecentQuarter,earningsQuarterlyGrowth,totalCash,totalCashPerShare,totalDebt,debtToEquity,earningsGrowth,revenueGrowth,trailingAnnualDividendRate,trailingAnnualDividendYield,forwardPE,forwardEps
1,RURA11,Títulos e Val. Mob.,6.92,15.69,15.53,0.68,1107890000,3107460,0,0.0,0.0,0.0,0.0,16,3,19,,,,,,,,,,,,,,,,86400,2,6.94,6.94,,,,,,438248.0,522565.0,522565.0,7.02,6.9,,10.36,,7.3172,8.83045,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,RURA11.SA,RURA11.SA,FIAGRO RURA CI,Itau Asset Rural Fiagro - Imobiliario,1646830800,America/Sao_Paulo,BRT,a70b6d53-a399-30c7-b438-55612a152b70,finmb_1685742897,-10800000,6.92,none,,,,,,,,,,,,,,,,RURA11.SA,,,,,,,,,,,,,,,,
2,RBRP11,Outros,41.7,7.01,14.83,0.55,507872000,1332160,6,8176.56,678.69,8.3,0.0,4,15,19,"Rua Alves Guimarães, 1216",Pinheiros,São Paulo,SP,05410-002,Brazil,55 11 3133 0350,55 11 3133 0360,Asset Management,asset-management,Asset Management,Financial,financial,,,86400,2,42.58,42.58,3.0,0.0574,1696809600.0,,,27952.0,36335.0,36335.0,41.65,41.96,,63.83,,48.3282,54.0003,BRL,,,,0.04384,,,,,,,,,,-0.27692044,0.19995654,0.54,1736380800.0,SAO,EQUITY,RBRP11.SA,RBRP11.SA,FII RBR PROPCI,Fundo Investimento Imobiliario Rbr Properties Fii,1534338000,America/Sao_Paulo,BRT,8620dea0-fc6e-3803-8a62-b044bcfa35dd,finmb_561209711,-10800000,41.7,none,,,,,,,,,,,,,,,,RBRP11.SA,,,,,,,,,,,,,,,,
3,VINO11,Lajes Corporativas,4.4,12.76,14.68,0.43,364436000,602091,10,5414.82,1102.1,20.35,1.66,0,19,19,,,,,,Brazil,,,,,,,,,,86400,4,4.67,4.67,0.72,0.0858,1696204800.0,,7.096774,138717.0,101683.0,101683.0,4.41,4.54,364435744.0,8.22,,4.717,5.80075,BRL,,,82826304.0,0.00604,82826304.0,,,,,,0.62,,,-0.42633635,0.19995654,0.05,1738540800.0,SAO,EQUITY,VINO11.SA,VINO11.SA,FII VINCI OFCI,Vinci Corporate Fundo De Investimento Imobiliario,1574946000,America/Sao_Paulo,BRT,26fd321f-c1f0-3792-b374-c0cea772d985,finmb_636195775,-10800000,4.4,none,,,,,,,,,,,,,,,,VINO11.SA,10:1,1706659200.0,,,,,,,,,,,,,,
4,XPCA11,Títulos e Val. Mob.,6.32,18.72,15.24,0.67,287706000,1067140,0,0.0,0.0,0.0,0.0,11,11,22,,,,,,Brazil,,,,,,,,,,86400,2,6.33,6.33,,,,,,198030.0,183729.0,183729.0,6.4,6.32,,9.55,,6.0866,7.42495,BRL,,,,,,,,,,,,,,-0.3283741,0.19995654,0.1,1738540800.0,SAO,EQUITY,XPCA11.SA,XPCA11.SA,FIAGRO XP CACI,Xp Credito Agricola - Fundo De Investimento Nas Cadeias Produtivas - Fiagro - Imobiliario,1637359500,America/Sao_Paulo,BRT,941472cb-2cb4-3be9-adc9-e1ca21e92340,finmb_1682536260,-10800000,6.32,none,,,,,,,,,,,,,,,,XPCA11.SA,,,,,,,,,,,,,,,,
6,RBRX11,Títulos e Val. Mob.,6.93,9.36,15.83,0.73,204218000,564178,1,7748940.0,0.0,0.0,0.0,24,1,25,,,,,,Brazil,,,,,,,,,,86400,2,6.9,6.9,12.6,0.1374,1697500800.0,,5.5887094,78179.0,72970.0,72970.0,6.9,7.05,842736512.0,9.96,,7.3494,8.51765,BRL,,,,,121607000.0,,,,,,1.24,,,-0.2635494,0.19995654,0.08,1736985600.0,SAO,EQUITY,RBRX11.SA,RBRX11.SA,FII RBR MULTCI,Rbr Alpha Plus Multiestrategia Real Estate Fundo De Investimento Imobiliario,1662382800,America/Sao_Paulo,BRT,dd80f183-7543-3d7d-a21c-6d50ee6180af,finmb_1675675030,-10800000,6.93,none,,,,,,,,,,,,,,,,RBRX11.SA,10:1,1701907200.0,,2.95,,,,,,,,,,,,
7,GTWR11,Lajes Corporativas,66.72,14.6,14.17,0.67,800640000,751397,3,4825.55,758.77,15.72,0.0,12,24,36,,,,,,Brazil,,,Asset Management,asset-management,Asset Management,Financial,financial,,,86400,2,67.15,67.15,9.48,0.1178,1696204800.0,,4.204159,12820.0,12484.0,12484.0,66.5,66.94,800640000.0,87.95,,69.805,77.7689,BRL,,,12000000.0,0.0073900004,12000000.0,,,,,,15.87,,,-0.2374857,0.19995654,0.83,1738540800.0,SAO,EQUITY,GTWR11.SA,GTWR11.SA,FII G TOWERSCI,Fundo Investimento Imobiliario Green Towers,1561381200,America/Sao_Paulo,BRT,0da1ece4-fdb3-314b-8680-591a448041a9,finmb_529086886,-10800000,66.72,none,,,,,,,,,,,,,,,,GTWR11.SA,,,,,,,,,,,,,,,,
8,VCJR11,Títulos e Val. Mob.,70.51,17.07,15.46,0.76,1038190000,2581140,0,0.0,0.0,0.0,0.0,32,5,37,,,,,,Brazil,,,,,,,,,,86400,2,70.96,70.96,7.8,0.085,1696204800.0,,6.620658,35517.0,40778.0,40778.0,70.45,70.8,1038189248.0,96.97,,73.1904,85.73225,BRL,,,14724000.0,0.00458,14724000.0,,,,,,10.65,,,-0.25771135,0.19995654,0.95,1738540800.0,SAO,EQUITY,VCJR11.SA,VCJR11.SA,FII VECTIS  CI,Vectis Juros Real Fundo De Investimento Imobiliario - Fii,1580216400,America/Sao_Paulo,BRT,6fbd26c3-b744-3a98-a387-7ebeab23edc3,finmb_637596273,-10800000,70.51,none,,,,,,,,,,,,,,,,VCJR11.SA,,,,,,,,,,,,,,,,
9,BTAL11,Outros,68.9,20.88,13.64,0.62,412210000,525463,9,1201.89,175.7,14.62,0.0,8,33,41,,,,,,Brazil,,,,,,,,,,86400,2,68.3,68.3,,,,,4.245225,8293.0,5638.0,5638.0,68.11,68.9,412210784.0,80.03,,68.4462,72.90095,BRL,,,5982740.0,0.01543,5982740.0,,,,,,16.23,,,-0.050048232,0.19995654,0.84,1737417600.0,SAO,EQUITY,BTAL11.SA,BTAL11.SA,FII BTG AGROCI,FII Btg Pactual Agro Logistica,1612443600,America/Sao_Paulo,BRT,df159a76-032d-3ab4-8d86-677529b05db2,finmb_702442289,-10800000,68.9,none,,,,,,,,,,,,,,,,BTAL11.SA,,,,,,,,,,,,,,,,
10,ICRI11,Títulos e Val. Mob.,77.35,10.57,15.98,0.79,298367000,1425320,0,0.0,0.0,0.0,0.0,42,0,42,,,,,,,,,,,,,,,,86400,2,77.15,77.15,,,,,,15563.0,13720.0,13720.0,77.36,79.0,298366784.0,100.0,,83.9284,93.17375,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,ICRI11.SA,ICRI11.SA,FII CI IPCA CI,,1708347600,America/Sao_Paulo,BRT,740b08c8-af4f-3ba6-bf30-e349280205cd,finmb_1847564528,-10800000,77.35,none,,,,,,,,,,,,,,,,ICRI11.SA,,,,,,,,,,,,,,,,
11,XPSF11,Títulos e Val. Mob.,5.5,14.61,15.4,0.76,238162000,616884,0,0.0,0.0,0.0,0.0,35,7,42,,,,,,Brazil,,,,,,,,,,86400,2,5.43,5.43,0.9,0.11,1696204800.0,,0.45008183,97491.0,131381.0,131381.0,5.48,5.5,23816156.0,8.49,,5.9758,7.06075,BRL,,,4330210.0,0.0062599997,4330210.0,,,,,,12.22,,,-0.34210527,0.19995654,0.06,1738540800.0,SAO,EQUITY,XPSF11.SA,XPSF11.SA,FII XP SELECCI,XP Selection Fundo De Fundos De Investimento Imobiliario - FII,1581944400,America/Sao_Paulo,BRT,b707954d-2e58-31c4-9495-dec4e86c6986,finmb_628662778,-10800000,5.5,none,,,,,,,,,,,,,,,,XPSF11.SA,,,,,,,,,,,,,,,,
12,RZAT11,Híbrido,79.75,-67.19,15.67,0.8,337745000,889691,11,1365.92,130.14,9.53,0.0,44,2,46,,,,,,,,,,,,,,,,86400,2,78.92,78.92,,,,,,11637.0,8468.0,8468.0,79.51,80.45,,100.3,,82.1314,87.37485,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,RZAT11.SA,RZAT11.SA,FII ARCTIUM CI,Riza Arctium Real Estate Fundo De Investimento Imobiliario,1726491600,America/Sao_Paulo,BRT,fa6bc634-11c2-332a-a874-fe1245c14418,finmb_613243832,-10800000,79.75,none,,,,,,,,,,,,,,,,RZAT11.SA,,,,,,,,,,,,,,,,
13,CPTS11,Títulos e Val. Mob.,6.38,9.23,14.06,0.75,2027740000,8086390,0,0.0,0.0,0.0,0.0,27,25,52,,,,,,,,,,,,,,,,86400,2,6.25,6.25,,,,,,1281325.0,756625.0,756625.0,6.36,6.38,,8.76,,6.4848,7.67365,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,CPTS11.SA,CPTS11.SA,FII CAPI SECCI,Capitania Securities II Fundo Investimento Imobiliario FII,1441198800,America/Sao_Paulo,BRT,a22cfb55-f8b6-3e8d-9886-674e30a1f66a,finmb_247931675,-10800000,6.38,none,,,,,,,,,,,,,,,,CPTS11.SA,,,,,,,,,,,,,,,,
14,CLIN11,Títulos e Val. Mob.,76.01,13.26,15.36,0.8,330397000,980503,0,0.0,0.0,0.0,0.0,43,9,52,,,,,,,,,,,,,,,,86400,2,75.81,75.81,,,,,,14553.0,11042.0,11042.0,75.91,77.09,330397248.0,99.1,,80.7014,91.32835,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,CLIN11.SA,CLIN11.SA,FII CLAVE INCI,Clave Indices De Precos Fundo De Investimento Imobiliario,1698843600,America/Sao_Paulo,BRT,004353c2-f0b5-33a0-afbd-d26fac49f4c4,finmb_1853700894,-10800000,76.01,none,,,,,,,,,,,,,,,,CLIN11.SA,,,,,,,,,,,,,,,,
15,RVBI11,Títulos e Val. Mob.,58.5,9.11,15.22,0.79,601147000,1254690,0,0.0,0.0,0.0,0.0,41,12,53,,,,,,Brazil,,,,,,,,,,86400,2,60.27,60.27,9.0,0.1104,1696896000.0,,,23748.0,16409.0,16409.0,58.4,59.68,,91.06,,60.8102,69.69355,BRL,,,,0.00308,,,,,,,,,,-0.296875,0.19995654,0.75,1736467200.0,SAO,EQUITY,RVBI11.SA,RVBI11.SA,FII RVBI VBICI,Vbr Reits Fof Fundo De Investimento Imobiliario,1581339600,America/Sao_Paulo,BRT,7fdf06ac-be08-3c8a-ae74-876c864f6251,finmb_649014639,-10800000,58.5,none,,,,,,,,,,,,,,,,RVBI11.SA,,,,,,,,,,,,,,,,
16,HSAF11,Títulos e Val. Mob.,70.68,15.65,15.37,0.81,178563000,517683,0,0.0,0.0,0.0,0.0,46,8,54,,,,,,,,,,,,,,,,86400,2,69.6,69.6,,,,,12.186207,7690.0,5430.0,5430.0,69.0,71.91,178563120.0,90.17,,72.354,80.47095,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,HSAF11.SA,HSAF11.SA,FII HSI CRI CI,Hsi Ativos Financeiros Fundos Investimentos Imoliarios,1600434000,America/Sao_Paulo,BRT,cadde88a-e1f7-3084-8c54-a8dcae437a13,finmb_678163322,-10800000,70.68,none,,,,,,,,,,,,,,,,HSAF11.SA,,,,,,,,,,,,,,,,
17,RPRI11,Títulos e Val. Mob.,77.72,12.77,15.32,0.8,269823000,505068,0,0.0,0.0,0.0,0.0,45,10,55,,,,,,Brazil,,,,,,,,,,86400,2,77.83,77.83,9.6,0.095,1696204800.0,,7.803213,6106.0,7662.0,7662.0,77.1,79.3,269822848.0,103.0,,79.6224,88.7502,BRL,,,3471730.0,,3471730.0,,,,,,9.96,,,-0.23579156,0.19995654,1.0,1738540800.0,SAO,EQUITY,RPRI11.SA,RPRI11.SA,FII RBR PR  CI,RBR Premium Recebiveis Imobiliarios Fundo De Investimento Imobiliario,1660741200,America/Sao_Paulo,BRT,155dfa47-49cf-3560-9cd2-2df96d888ab8,finmb_1762271562,-10800000,77.72,none,,,,,,,,,,,,,,,,RPRI11.SA,,,,0.9821,,,,,,,,,,,,
18,VGHF11,Títulos e Val. Mob.,6.86,8.49,15.42,0.81,1129990000,3595800,0,0.0,0.0,0.0,0.0,50,6,56,,,,,,Brazil,,,,,,,,,,86400,2,6.8,6.8,,,,,10.393939,510171.0,559740.0,559740.0,6.86,6.95,1129992960.0,9.5,,7.2378,8.23375,BRL,,,164722000.0,0.0073900004,164722000.0,,,,,,0.66,,,-0.26473743,0.19995654,0.09,1738540800.0,SAO,EQUITY,VGHF11.SA,VGHF11.SA,FII VALOR HECI,Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,1615294800,America/Sao_Paulo,BRT,8aa5d1a8-1b15-30ae-9e79-608b5b934882,finmb_701374940,-10800000,6.86,none,,,,,,,,,,,,,,,,VGHF11.SA,,,,,,,,,,,,,,,,
19,IRDM11,Títulos e Val. Mob.,62.52,15.01,14.71,0.78,2277840000,3144830,0,0.0,0.0,0.0,0.0,39,17,56,,,,,,Brazil,,,,,,,,,,86400,2,61.89,61.89,9.61,0.1225,1696982400.0,,15.4370365,52471.0,44706.0,44706.0,62.5,63.0,2277841152.0,79.1,,62.3524,68.67365,BRL,,,36433800.0,0.03571,36433800.0,,,,,,4.05,,,-0.19588423,0.19995654,0.93,1736726400.0,SAO,EQUITY,IRDM11.SA,IRDM11.SA,FII IRIDIUM CI,Fundo Investimento Imobiliario Iridium Recebiveis Imobiliarios,1591275600,America/Sao_Paulo,BRT,3d911d55-1025-3a8d-87f2-3ca2fa7c45ba,finmb_549506226,-10800000,62.52,none,,,,,,,,,,,,,,,,IRDM11.SA,,,,2.3727,,,,,,,,,,,,
20,RBVA11,Outros,78.63,9.23,13.38,0.73,1227750000,1679300,72,6450.46,741.05,11.49,5.39,22,35,57,Avenida Chedid Jafet 222,"Andar 3, Bloco B",Sao Paulo,,,Brazil,,,Asset Management,asset-management,Asset Management,Financial,financial,,,86400,2,78.5,78.5,12.0,0.1075,1696204800.0,0.265056,4.3562326,21578.0,16145.0,16145.0,78.0,78.86,221442512.0,115.94,1.7329168,83.0038,99.0118,BRL,1293243008.0,1.50099,,0.00035,2810550.0,109.383,0.71885026,1672444800.0,1703980800.0,191804992.0,18.05,10.12,19.195,-0.30813903,0.19995654,0.9,1738540800.0,SAO,EQUITY,RBVA11.SA,RBVA11.SA,FII RIOB VA CI,Fundo Invest Imobiliario Agencias Caixa - FII Fund,1556802000,America/Sao_Paulo,BRT,7ebdee0b-7737-3eda-a301-cea65c36c484,finmb_224208632,-10800000,78.63,none,67373000.0,0.493,0.494,127786000.0,11.027,0.02503,0.15454,110190000.0,37451248.0,126755000.0,0.86230004,0.52723,0.46291,BRL,,RBVA11.SA,,,https://www.riobravo.com.br/EstrategiasInvestimento/Paginas/FII_AgenciasCaixa.aspx,0.65029997,,,,,,,,,,,,
